filename,h,s,v
/home/jon/nutrient_tester_rpi/Calibration/reactant-1.jpg,310006.0,246988.0,752155.0
/home/jon/nutrient_tester_rpi/Calibration/0.5mm-2.jpg,558383.0,329194.0,730750.0
/home/jon/nutrient_tester_rpi/Calibration/0.05mm-3.jpg,275912.0,162831.0,607566.0
/home/jon/nutrient_tester_rpi/Calibration/0.01mm-2.jpg,231933.0,195783.0,609735.0
/home/jon/nutrient_tester_rpi/Calibration/0.1mm-3.jpg,447163.0,223720.0,667615.0
/home/jon/nutrient_tester_rpi/Calibration/0.01mm-3.jpg,179776.0,260109.0,639638.0
/home/jon/nutrient_tester_rpi/Calibration/0.1mm-2.jpg,470639.0,299349.0,796241.0
/home/jon/nutrient_tester_rpi/Calibration/1mm-2.jpg,567566.0,399818.0,752812.0
/home/jon/nutrient_tester_rpi/Calibration/0.05mm-2redo.jpg,366413.0,184101.0,651740.0
/home/jon/nutrient_tester_rpi/Calibration/5mm-1.jpg,557001.0,434724.0,599917.0
/home/jon/nutrient_tester_rpi/Calibration/reactant-2.jpg,362525.0,300249.0,816640.0
/home/jon/nutrient_tester_rpi/Calibration/0.01-1.jpg,255948.0,209022.0,659493.0
/home/jon/nutrient_tester_rpi/Calibration/1mm-3redo.jpg,562523.0,674179.0,622640.0
/home/jon/nutrient_tester_rpi/Calibration/5mm-3.jpg,566458.0,629013.0,613278.0
/home/jon/nutrient_tester_rpi/Calibration/1mm-1.jpg,528989.0,594792.0,682181.0
/home/jon/nutrient_tester_rpi/Calibration/5mm-2edit.jpg,591899.0,476640.0,661825.0
/home/jon/nutrient_tester_rpi/Calibration/0.05mm-1.jpg,369985.0,229119.0,683211.0
/home/jon/nutrient_tester_rpi/Calibration/0.1mm-1.jpg,438986.0,273501.0,750291.0
/home/jon/nutrient_tester_rpi/Calibration/0.5mm-3.jpg,512570.0,412439.0,788954.0
/home/jon/nutrient_tester_rpi/Calibration/0.5mm-1.jpg,503945.0,402842.0,655896.0
/home/jon/nutrient_tester_rpi/Calibration/reactant-3.jpg,246508.0,198398.0,642299.0
